ISBN,title,author,year,total_ratings,average_rating
0048230871,"The Lord of the rings,",J. R. R Tolkien,1968,5,9.8
096268743X,Living Deliberately: The Discovery and Development of Avatar,Harry Palmer,1994,5,9.8
0060256656,The Giving Tree,Shel Silverstein,1964,17,9.76
0394800389,Fox in Socks (I Can Read It All by Myself Beginner Books),Dr. Seuss,1965,11,9.73
0395645662,The Giver (Newbery Medal Book),Lois Lowry,1993,7,9.71
0452279623,"The Waste Lands (The Dark Tower, Book 3)",Stephen King,1997,7,9.71
3458171703,Der Schatten des Windes.,Carlos Ruiz Zafon,2003,7,9.71
0020868308,"Mere Christianity: A revised and enlarged edition, with a new introduction, of the three books, The case for Christianity, Christian behaviour, and Beyond personality",C. S Lewis,1984,7,9.71
0618002235,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,1999,18,9.67
0618002243,"The Return of the King (The Lord of The Rings, Part 3)",J. R. R. Tolkien,1999,12,9.67
3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,9,9.67
0765343266,Son of the Shadows (The Sevenwaters Trilogy),Juliet Marillier,2002,6,9.67
0740721984,Fuzzy Logic Get Fuzzy 2,Darby Conley,2002,6,9.67
0373835280,Forever and Always,Lori Foster,2002,6,9.67
3499224623,Maus 2. Und hier begann mein UnglÃ?Â¼ck. Die Geschichte eines Ã?Â?berlebenden.,Art Spiegelman,1999,6,9.67
0486280616,Adventures of Huckleberry Finn (Dover Thrift Editions),Mark Twain,1994,6,9.67
0689859368,"The Field Guide (The Spiderwick Chronicles, Book 1)",Tony DiTerlizzi,2003,6,9.67
0684842319,Our Bodies Ourselves For The New Century (A Touchstone book),Boston Women's Health Book Collective,1998,6,9.67
0694003611,Goodnight Moon Board Book,Margaret Wise Brown,1991,6,9.67
0877799156,The Official Scrabble Players Dictionary (Third Edition),Merriam-Webster,1996,6,9.67
0553212427,Sherlock Holmes: The Complete Novels and Stories (Sherlock Holmes),Arthur Conan Doyle,1986,6,9.67
0345318587,The Hobbit,J R R Tolkien,1981,6,9.67
0553212419,Sherlock Holmes : The Complete Novels and Stories (Bantam Classic) Volume I,"Arthur Conan, Sir Doyle",1986,8,9.63
0312872402,Kushiel's Avatar (Kushiel's Legacy),Jacqueline Carey,2003,8,9.63
0762409533,TOLKIEN MAGNETIC POSTCARDS(tm) 12 Full-color Magnetic Postcards to Send or Save,Brothers Hildebrandt,2001,8,9.63
1551666014,Tomorrow's Promise: Can the Heart Let Go of Yesterday?,Sandra Brown,2000,5,9.6
0312853238,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,5,9.6
8845247414,Il Piccolo Principe,Antoine De Saint-Exupery,2002,5,9.6
0553293370,Foundation and Empire (Foundation Novels (Paperback)),ISAAC ASIMOV,1991,5,9.6
0060925000,"A Suitable Boy : Novel, A",Vikram Seth,1994,5,9.6
0684818701,The New Joy of Cooking,Marion Rombauer Becker,1997,5,9.6
0099429284,The Godfather,Mario Puzo,2001,5,9.6
044012929X,"God Bless You, Mr. Rosewater or Pearls Before Swine",Kurt Vonnegut,1991,5,9.6
1551669056,Between Friends,Debbie Macomber,2002,5,9.6
1568650108,Support Your Local Wizard,Diane Duane,1990,5,9.6
0671244221,Man's Search for Meaning: An Introduction to Logotherapy,Viktor E. Frankl,1984,5,9.6
0140018603,The Razor's Edge,W. Somerset Maugham,1992,5,9.6
1570624097,The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chodron,2001,5,9.6
0671744577,Eternity,Jude Deveraux,1992,5,9.6
0805421351,Rich Mullins: An Arrow Pointing to Heaven,James Bryan Smith,2000,5,9.6
0449003132,Milk and Honey (Decker and Lazarus Series),Faye Kellerman,1998,5,9.6
0307336565,Birds of North America (Golden Field Guides),Chandler S. Robbins,1983,5,9.6
0849912970,Traveling Light: Releasing the Burdens You Were Never Intended to Bear,Max Lucado,2001,5,9.6
038070918X,Beezus and Ramona,Beverly Cleary,1990,5,9.6
0316578398,The Art of Raising a Puppy,New Skete Monks,1991,5,9.6
0373871589,Redeeming Claire (Love Inspired (Numbered)),Cynthia Rutledge,2001,5,9.6
0380542625,One Child,Torey Hayden,1981,5,9.6
0307010368,Snow White and the Seven Dwarfs,Little Golden Staff,1994,5,9.6
0345273303,Another Roadside Attraction,Robbins,1977,5,9.6
0345298748,Moreta: Dragonlady of Pern,Anne McCaffrey,1983,5,9.6
0316286869,Making Faces,Kevyn Aucoin,1997,5,9.6
0553204564,All Things Bright and Beautiful,James Herriot,1981,5,9.6
0395259398,Mike Mulligan and His Steam Shovel (Sandpiper Books),Virginia Lee Burton,1977,5,9.6
0064430170,Goodnight Moon,Margaret Wise Brown,1977,5,9.6
0874775132,Drawing on the Right Side of the Brain: A Course in Enhancing Creativity and Artistic Confidence,Betty Edwards,1989,5,9.6
017443460X,King Lear (3rd Series),William Shakespeare,1997,5,9.6
078691551X,"Dungeon Master's Guide: Core Rulebook II (Dungeons &amp; Dragons, Third Edition)",Monte Cook,2000,5,9.6
0836220889,Calvin and Hobbes,Bill Watterson,1987,17,9.59
0066238501,Complete Chronicles of Narnia,C. S. Lewis,2001,14,9.57
0836218221,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,1990,14,9.57
0312957572,Seventh Scroll,Wilbur A. Smith,1996,7,9.57
0394800796,How the Grinch Stole Christmas!,Dr. Seuss,1957,7,9.57
0380002558,The Velveteen Rabbit,Margery Williams,1999,7,9.57
0060263857,Charlotte's Web,E. B. White,1952,7,9.57
8478885196,Harry Potter y el prisionero de Azkaban,J. K. Rowling,2000,7,9.57
0198117477,William Shakespeare: The Complete Works,William Shakespeare,1988,7,9.57
3499224615,Maus 1. Mein Vater kotzt Geschichte aus. Die Geschichte eines Ã?Â?berlebenden.,Art Spiegelman,1999,7,9.57
0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,64,9.56
950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003,9,9.56
0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,9,9.56
0962959170,The Teenage Liberation Handbook: How to Quit School and Get a Real Life and Education,Grace Llewellyn,1998,9,9.56
3522128001,Die unendliche Geschichte: Von A bis Z,Michael Ende,1979,9,9.56
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,13,9.54
0836221362,It's A Magical World: A Calvin and Hobbes Collection,Bill Watterson,1996,13,9.54
0811824829,52 Deck Series: 52 Ways to Celebrate Friendship,Lynn Gordon,2000,13,9.54
0743454529,"My Sister's Keeper : A Novel (Picoult, Jodi)",Jodi Picoult,2004,19,9.53
0440174643,Roots,ALEX HALEY,1980,16,9.5
0553274325,Johnny Got His Gun,Dalton Trumbo,1983,16,9.5
0060256672,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,1974,14,9.5
3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,10,9.5
0553242954,Anne of Green Gables (Bantam Starfire Book),L.M. Montgomery,1986,8,9.5
0931432820,The Complete Book of Essential Oils and Aromatherapy,Valerie Ann Worwood,1991,8,9.5
0440407028,The Book of Three (Chronicles of Prydain (Paperback)),LLOYD ALEXANDER,1978,8,9.5
360893541X,Die Gefahrten I,J. R. R. Tolkien,2001,6,9.5
3423125004,Das Kartengesheimnis,Jostein Gaarder,1999,6,9.5
037542217X,The Kalahari Typing School for Men : More from the No. 1 Ladies' Detective Agency,Alexander McCall Smith,2003,6,9.5
037325041X,The Solomon Sisters Wise Up (Red Dress Ink),Melissa Senate,2003,6,9.5
0812504577,Frankenstein,Mary Wollstonecraft Shelley,1989,6,9.5
0517559501,The original Hitchhiker radio scripts,Douglas Adams,1985,6,9.5
0066214769,"Children of the Storm (Peters, Elizabeth)",Elizabeth Peters,2003,6,9.5
843760494X,Cien AÃ±os de Soledad,Gabriel GarcÃ­a MÃ¡rquez,1994,6,9.5
0836217241,The Far Side Gallery 4,Gary Larson,1993,11,9.45
0618129081,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,2001,11,9.45
0064409422,"The Lion, the Witch and the Wardrobe (Full-Color Collector's Edition)",C. S. Lewis,2000,14,9.43
1401301061,The World According to Mister Rogers,Fred Rogers,2003,7,9.43
0684823780,Mere Christianity,C. S. Lewis,1996,7,9.43
0757300065,Chicken Soup for the Soul of America : Stories to Heal the Heart of Our Nation (Chicken Soup for the Soul (Paper)),Jack Canfield,2002,7,9.43
0486250334,Wizard of Oz Postcards in Full Color (Card Books),Ted Menten,1986,7,9.43
0060254920,Where the Wild Things Are,Maurice Sendak,1988,7,9.43
0811818276,52 Ways to Simplify Your Life (52 Decks),Lynn Gordon,1997,7,9.43
0064405028,"The Voyage of the 'Dawn Treader' (The Chronicles of Narnia, Book 5)",C. S. Lewis,1994,7,9.43
0141301066,Matilda,Roald Dahl,1998,7,9.43
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,104,9.42
8420636282,El Principito,Antoine De Saint-Exupery,2002,5,9.4
0786851473,Artemis Fowl: The Arctic Incident - Book #2 (Artemis Fowl (Mass Market)),Eoin Colfer,2004,5,9.4
0553213601,Cyrano De Bergerac (Bantam Classics),EDMOND ROSTAND,1950,5,9.4
0609803875,A Gracious Plenty : A Novel,SHERI REYNOLDS,1999,5,9.4
0140275363,The Iliad (Penguin Classics),Homer,1998,5,9.4
0792274512,National Geographic Field Guide to the Birds of North America : Revised and Updated,Unknown Unknown,1999,5,9.4
0373790988,"Slippery When Wet: Under the Covers (Harlequin Blaze, 94)",Kristin Hardy,2003,5,9.4
0931580587,Ain't Nobody's Business If You Do : The Absurdity of Consensual Crimes in Our Free Country,Peter McWilliams,1996,5,9.4
0451458338,"The Darkest Road (The Fionavar Tapestry, Book 3)",Guy Gavriel Kay,2001,5,9.4
0679767819,The Demolished Man,Alfred Bester,1996,5,9.4
0553344862,The River Why,David James Duncan,1988,5,9.4
0452279615,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997,5,9.4
0312966555,All Things Wise and Wonderful (All Things Wise &amp; Wonderful),James Herriot,1998,5,9.4
0807281956,Harry Potter and the Sorcerer's Stone (Book 1 Audio CD),J. K. Rowling,1999,5,9.4
0451450965,A Fine and Private Place,Peter Beagle,1994,5,9.4
0451402383,Fire Song,Catherine Coulter,1985,5,9.4
0764221760,"The Meeting Place (Song of Acadia, 1)",Janette Oke,1999,5,9.4
0743453069,Charming the Highlander (Highlander Trilogy),Janet Chapman,2003,5,9.4
1567310079,Siddhartha,Hermann Hesse,1997,5,9.4
0440802458,Egypt Game,Zilpha Keatley Snyder,1991,5,9.4
2070524558,Harry Potter et la chambre des secrets,J. K. Rowling,1999,5,9.4
0671726714,LATE NIGHT WITH DAVID LETTERMAN BOOK OF TOP TEN LISTS,David Letterman,1990,5,9.4
0316284610,The Unwanted: A Memoir of Childhood,Kien Nguyen,2002,5,9.4
0310254752,The Case for Easter: Journalist Investigates the Evidence for the Resurrection,Lee Strobel,2004,5,9.4
067084487X,The Stinky Cheeseman and Other Fairly Stupid Tales (Caldecott Honor Book),Jon Scieszka,1993,5,9.4
067086871X,The Bone Collector (Lincoln Rhyme Novels (Hardcover)),Jeff Deaver,1997,5,9.4
0375802118,"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,1999,5,9.4
0316291161,The French Lieutenant's Woman (French Lieutenant's Woman),John Fowles,1998,5,9.4
0425147762,Red Azalea,Anchee Min,1995,5,9.4
0898799112,"Writer's Market 2000: 8,000 Editors Who Buy What You Write (Writer's Market)",Kirsten Holm,1999,5,9.4
0060275103,Ella Enchanted (Newbery Honor Book),Gail Carson Levine,1997,5,9.4
0590406191,The Trumpet of the Swan,E. B. White,1988,5,9.4
0316286850,Making Faces,Kevyn Aucoin,1999,5,9.4
0679736301,Spider (Vintage Contemporaries),Patrick McGrath,1991,5,9.4
0375815260,Charlie and the Chocolate Factory,ROALD DAHL,2001,5,9.4
0671876465,Mirror Dance,Lois McMaster Bujold,1995,5,9.4
0525945253,The Kid: What Happened After My Boyfriend and I Decided to Go Get Pregnant : An Adoption Story,Dan Savage,1999,5,9.4
0064431789,Where the Wild Things Are (Caldecott Collection),Maurice Sendak,1988,5,9.4
1853262390,Orlando: A Biography,Virginia Woolf,1999,5,9.4
006091646X,The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships,Harriet Lerner,1990,5,9.4
0836218981,The Indispensable Calvin And Hobbes,Bill Watterson,1992,13,9.38
0671517643,LITTLE WOMEN,Louisa May Alcott,1994,8,9.38
0385324138,The Outlandish Companion,DIANA GABALDON,1999,8,9.38
0743444477,Letters for Emily,Camron Wright,2003,8,9.38
0394800184,Are You My Mother?,Philip D. Eastman,1960,8,9.38
0064405052,The Magician's Nephew (Narnia),C. S. Lewis,1994,8,9.38
0316107417,Happy Trails,Berke Breathed,1990,8,9.38
1563891336,Death: The High Cost of Living,Neil Gaiman,1994,8,9.38
0140143505,84 Charing Cross Road,Helene Hanff,1990,22,9.36
0679805273,"Oh, the Places You'll Go!",Dr. Seuss,1990,11,9.36
0930289595,"The Doll's House (Sandman, Book 2)",Neil Gaiman,1991,11,9.36
0060256737,A Light in the Attic,Shel Silverstein,1981,17,9.35
039480001X,The Cat in the Hat,Dr. Seuss,1957,27,9.33
1880418568,"Wolves of the Calla (The Dark Tower, Book 5)",Stephen King,2003,21,9.33
0517149257,The Ultimate Hitchhiker's Guide,Douglas Adams,1996,18,9.33
0671741039,Swan Song,Robert McCammon,1987,15,9.33
0836217691,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,1994,15,9.33
0441068804,The Blue Sword,Robin McKinley,1991,9,9.33
0441006841,Obsidian Butterfly,Laurell K. Hamilton,2000,6,9.33
067003116X,Report from Ground Zero: The Story of the Rescue Efforts at the World Trade Center,Dennis Smith,2002,6,9.33
0786915501,"Player's Handbook: Core Rulebook I (Dungeons &amp; Dragons, Third Edition)",Not Applicable (Na ),2000,6,9.33
0020418809,CADDIE WOODLAWN,Carol Ryrie Brink,1970,6,9.33
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,6,9.33
0763616052,Because of Winn-Dixie,Kate Dicamillo,2001,6,9.33
0451166361,The Glass Menagerie,Tennessee Williams,1993,6,9.33
0140178724,Was,Geoff Ryman,1993,6,9.33
0307001164,101 Dalmatians,Justine Korman,1996,6,9.33
0553240749,Of Mice and Men,John Steinbeck,1982,6,9.33
1551669501,Diamond Spur,Diana Palmer,2002,6,9.33
0886774543,"Oathbreakers (Vows and Honor, Book 2)",Mercedes Lackey,1995,6,9.33
0345339967,Foundation and Earth,Isaac Asimov,1990,6,9.33
067154683X,DIARY ANNE FRANK,Anne Frank,1984,6,9.33
0380010038,The Cay,Theodore Taylor,1995,6,9.33
0805210601,The Sunflower: On the Possibilities and Limits of Forgiveness (Newly Expanded Paperback Edition),Simon Wiesenthal,1998,6,9.33
0316107549,Classics of Western Literature: Bloom County 1986-1989,Berke Breathed,1990,6,9.33
0671641778,Firebrand,Marion Zimmer Bradley,1987,6,9.33
0441011675,Dead to the World,Charlaine Harris,2004,6,9.33
0553213008,A Midsummer Nights Dream (Bantam Classic),William Shakespeare,1988,6,9.33
1563893339,Death : The Time of Your Life (Death),Neil Gaiman,1997,6,9.33
0394800168,Green Eggs and Ham (I Can Read It All by Myself Beginner Books),Dr. Seuss,1960,16,9.31
0440235502,October Sky: A Memoir,Homer Hickam,1999,13,9.31
0375422307,Persepolis : The Story of a Childhood (Alex Awards (Awards)),MARJANE SATRAPI,2003,13,9.31
0689711522,Silver on the Tree,Susan Cooper,1987,10,9.3
0156012197,The Little Prince,Antoine de Saint-ExupÃ©ry,2000,17,9.29
0517693119,More Than Complete Hitchhiker's Guide,Douglas Adams,1990,14,9.29
0671023373,Man's Search For Meaning,Viktor E. Frankl,1997,7,9.29
0064440044,Little Bear (An I Can Read Book),Elsa Holmelund Minarik,1978,7,9.29
0671003356,Ransom,Julie Garwood,1999,7,9.29
0385314388,Motherless Daughters: The Legacy of Loss,Hope Edelman,1995,7,9.29
1555611435,Your Pregnancy: Week by Week (Your Pregnancy Series),Glade B. Curtis M.D. OB/GYN,1997,7,9.29
0064402754,The Best Christmas Pageant Ever,Barbara Robinson,1988,7,9.29
1555837336,Screening Party,Dennis Hensley,2002,7,9.29
0020532105,CRY THE BELOVED COUNTRY (Scribner Classic),Alan Paton,1987,7,9.29
0836228804,Poodles: A Book of Postcards,Andrews McMeel Publishing,1997,7,9.29
0670691992,Talisman,Stephen King,1984,7,9.29
0141301058,The BFG,Roald Dahl,1998,7,9.29
0505525542,Sex and the Single Vampire,Katie Macalister,2004,7,9.29
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,7,9.29
2205054252,"Le Combat ordinaire, tome 1",Larcenet,2003,7,9.29
0345272579,The Hobbit,J. R. R. Tolkien,1977,11,9.27
0140133488,Crossing to Safety,Wallace Earle Stegner,1991,11,9.27
0877017883,Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,1991,34,9.26
3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,12,9.25
0689714335,The Cat Who Went to Heaven,Elizabeth Coatsworth,1990,12,9.25
0679893105,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1998,8,9.25
0553574353,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,1996,8,9.25
0451456734,Queen of the Darkness (Black Jewels Trilogy),Anne Bishop,2000,8,9.25
0140287248,To the Edge of the Sky,Anhua Gao,2001,8,9.25
0812505166,Wuthering Heights,Emily Bronte,1989,8,9.25
0441008615,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil Gaiman,2001,8,9.25
0898159954,FAT!SO? : Because You Don't Have to Apologize for Your Size,Marilyn Wann,1999,8,9.25
0440343194,Illusions,Richard Bach,1981,17,9.24
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,39,9.23
0064404773,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1993,13,9.23
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,68,9.22
0920668372,Love You Forever,Robert N. Munsch,1986,18,9.22
0836218663,The Revenge Of The Baby-Sat,Bill Watterson,1991,9,9.22
0618129030,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,2001,9,9.22
0843944463,Mine to Take (Futuristic Romance),Dara Joy,1998,9,9.22
1577780728,"Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood For Jesus, the Ultimate Jesus Freaks",DC Talk,1999,9,9.22
1853260045,Great Expectations (Wordsworth Classics),Charles Dickens,1997,9,9.22
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,111,9.21
0836218620,Weirdos From Another Planet!,Bill Watterson,1990,19,9.21
0395177111,The Hobbit (Leatherette Collector's Edition),J. R. R. Tolkien,1973,14,9.21
0553573314,The Diamond Age,Neal Stephenson,1996,15,9.2
1571458735,Uncle John's Ahh-Inspiring Bathroom Reader (Bathroom Reader Series),Bathroom Reader Institute,2002,10,9.2
0064401871,A Little Princess,Frances Hodgson Burnett,1987,10,9.2
0922066728,A Time to Kill,John Grisham,1992,5,9.2
0345296052,The Fellowship of the Ring (Lord of the Rings (Paperback)),J. R. R. Tolkien,1981,5,9.2
0140346406,The Twits,Roald Dahl,1991,5,9.2
0767904427,Going After Cacciato,Tim O'Brien,1999,5,9.2
0465026567,"GÃ¶del, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,1999,5,9.2
0375503803,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,2001,5,9.2
0060931914,Demian: The Story of Emil Sinclair's Youth (Perennial Classics),Hermann Hesse,1999,5,9.2
2070415732,Fahrenheit 451 (Collection Folio),Ray Bradbury,2002,5,9.2
0886774144,"The Oathbound (Vows and Honor, Book 1)",Mercedes Lackey,1996,5,9.2
0060278234,Lirael: Daughter of the Clayr,Garth Nix,2001,5,9.2
0380012774,The Importance of Being Earnest,Oscar Wilde,1976,5,9.2
1591821533,Chobits (Chobits),Clamp,2003,5,9.2
0312987625,Midnight Pleasures,Amanda Ashley,2003,5,9.2
156341029X,Stone Butch Blues,Leslie Feinberg,1993,5,9.2
067972477X,"I, Claudius : From the Autobiography of Tiberius Claudius, Born 10 B.C., Murdered and Deified A.D. 54 (Vintage International)",Robert Graves,1989,5,9.2
0553073273,"Heir to the Empire (Star Wars, Vol. 1)",Timothy Zahn,1991,5,9.2
0743444329,Geisha : A Life,Mineko Iwasaki,2002,5,9.2
0060916087,Tao Te Ching: A New English Version,Stephen Mitchell,1991,5,9.2
156931778X,Battle Royale (Battle Royale),Koushun Takami,2003,5,9.2
0140620621,Moby Dick (Penguin Popular Classics),Herman Melville,1994,5,9.2
0765345013,Child of the Prophecy : Book Three of the Sevenwaters Trilogy (The Sevenwaters Trilogy),Juliet Marillier,2003,5,9.2
0451458222,"The Summer Tree (The Fionavar Tapestry, Book 1)",Guy Gavriel Kay,2001,5,9.2
0698116844,The Cat Ate My Gymsuit,Paula Danziger,1998,5,9.2
0786888741,Lucky Man : A Memoir,Michael J. Fox,2003,5,9.2
0812538986,Jack of Kinrowan,Charles De Lint,1995,5,9.2
0152164561,"Mary, Bloody Mary: A Young Royals Book",Carolyn Meyer,2001,5,9.2
0395353009,The Prince of Tides,Pat Conroy,1986,5,9.2
2226070109,Un aller simple: Roman,Didier van Cauwelaert,1994,5,9.2
0374373620,A Swiftly Tilting Planet,Madeleine L'Engle,1978,5,9.2
067940676X,French for Cats: All the French Your Cat Will Ever Need,Henri De LA Barbe,1991,5,9.2
0446671444,What Your Doctor May Not Tell You About Menopause: The Breakthrough Book on Natural Progesterone,John R. Lee,1996,5,9.2
1857026691,Fermat's Last Theorem: The Story of a Riddle That Confounded the World's Greatest Minds for 358 Years,Simon Singh,1998,5,9.2
0525944818,Reaching to Heaven: A Spiritual Journey Through Life and Death,James Van Praagh,1999,5,9.2
0261103288,The Hobbit,J.R.R. Tolkien,1995,5,9.2
0312873115,The Land of Laughs : A Novel,Jonathan Carroll,2001,5,9.2
089471273X,Writer's Notebook,Running Press,1984,5,9.2
0345295250,White Dragon,Anne McCaffrey,1979,5,9.2
0451158237,Fountainhead,Ayn Rand,1952,5,9.2
006440174X,"Good Night, Mr. Tom",Michelle Magorian,1986,5,9.2
1573225681,"Living Buddha, Living Christ",Thich Nhat Hanh,1997,5,9.2
0804119538,The Defiant Hero,SUZANNE BROCKMANN,2001,5,9.2
0060973277,The Mambo Kings Play Songs of Love,Oscar Hijuelos,1990,5,9.2
0451458370,Alien Taste (Roc Science Fiction),Wen Spencer,2001,5,9.2
2020551470,Le baron perche,Calvino,2002,5,9.2
0812516206,Spiritwalk (Tor Fantasy),Charles De Lint,1995,5,9.2
0385495757,"Desert Queen: The Extraordinary Life of Gertrude Bell : Adventurer, Advisor to Kings, Ally of Lawrence of Arabia",Janet Wallach,1999,5,9.2
1573221716,Raising Fences: A Black Man's Love Story,Michael Datcher,2001,5,9.2
0380493462,Westing Game,Ellen Raskin,1989,5,9.2
0451175123,The Fountainhead,Ayn Rand,1995,5,9.2
1579549586,South Beach Diet Good Fats/Good Carbs Guide: The Complete and Easy Reference for All Your Favorite Foods,Arthur Agatston,2004,5,9.2
3492227694,Mariana.,Susanna Kearsley,1999,5,9.2
0743428013,Remember Me #1 (reissue),Christopher Pike,2002,5,9.2
0446612766,Still Life with Crows,Douglas Preston,2004,5,9.2
0140340203,The Witches,Roald Dahl,1989,5,9.2
0385336454,Presumption of Death,PERRI O'SHAUGHNESSY,2003,5,9.2
0890877033,Living Juicy: Daily Morsels for Your Creative Soul,Sark,1994,5,9.2
0451933028,The Green Mile: The Complete Six Part Novel,Stephen King,1996,5,9.2
0689711735,"Alexander And The Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,1987,5,9.2
0140094296,The Songlines,Bruce Chatwin,1988,5,9.2
0679879269,"The Amber Spyglass (His Dark Materials, Book 3)",Philip Pullman,2000,16,9.19
020530902X,"The Elements of Style, Fourth Edition",William Strunk Jr.,2000,11,9.18
0399151060,"Remember When (Roberts, Nora)",Nora Roberts,2003,11,9.18
0441328091,The Hero and the Crown,Robin McKinley,1989,11,9.18
3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,11,9.18
0689710682,Mrs. Frisby and the Rats of Nimh,Robert C. O'Brien,1986,11,9.18
0679879250,"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,1997,11,9.18
067168390X,Lonesome Dove,Larry McMurtry,1988,24,9.17
0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1995,18,9.17
0394747232,Maus a Survivors Tale: My Father Bleeds History,Art Spiegelman,1986,12,9.17
0345369076,Silver Pigs: A Detective Novel in Ancient Rome,Lindsey Davis,1992,6,9.17
0060801263,Tree Grows In Brooklyn,Betty Smith,1988,6,9.17
